country,Indicator Name,region,year,ExportValueIndex
China,Export value index (2000 = 100),East Asia,2007,53.6825677729
Cyprus,Export value index (2000 = 100),,2007,42.3025175386
Georgia,Export value index (2000 = 100),,2007,55.8978314172
"Hong Kong, China",Export value index (2000 = 100),,2007,68.4417701507
India,Export value index (2000 = 100),South Asia,2007,56.0394996325
Indonesia,Export value index (2000 = 100),Southeast Asia,2007,78.4836823492
"Iran, Islamic Rep.",Export value index (2000 = 100),,2007,126.2653859911
Iraq,Export value index (2000 = 100),West Asia,2007,71.6741551825
Israel,Export value index (2000 = 100),West Asia,2007,84.4341067573
Japan,Export value index (2000 = 100),East Asia,2007,114.3067085255
Jordan,Export value index (2000 = 100),West Asia,2007,73.0927897508
Kazakhstan,Export value index (2000 = 100),Central Asia,2007,103.9152021018
"Korea, Rep.",Export value index (2000 = 100),East Asia,2007,70.52385638
Kuwait,Export value index (2000 = 100),West Asia,2007,115.8325687961
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2007,91.6539475257
Lao PDR,Export value index (2000 = 100),,2007,25.2563090068
Lebanon,Export value index (2000 = 100),West Asia,2007,89.7646904401
Malaysia,Export value index (2000 = 100),Southeast Asia,2007,88.004148109
Maldives,Export value index (2000 = 100),South Asia,2007,95.1151547756
Mongolia,Export value index (2000 = 100),East Asia,2007,40.4557428302
Myanmar,Export value index (2000 = 100),Southeast Asia,2007,54.7099433045
Nepal,Export value index (2000 = 100),South Asia,2007,120.4991472673
Oman,Export value index (2000 = 100),West Asia,2007,77.3401018725
Pakistan,Export value index (2000 = 100),South Asia,2007,80.7523516069
Philippines,Export value index (2000 = 100),Southeast Asia,2007,85.7863260085
Qatar,Export value index (2000 = 100),West Asia,2007,53.8911419984
Russian Federation,Export value index (2000 = 100),,2007,103.8029518174
Saudi Arabia,Export value index (2000 = 100),West Asia,2007,114.6297362096
Singapore,Export value index (2000 = 100),Southeast Asia,2007,85.1305525881
Sri Lanka,Export value index (2000 = 100),South Asia,2007,73.3901294224
Syrian Arab Republic,Export value index (2000 = 100),,2007,1302.3044123027
